Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,date,classification
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9769,986.87,7872.16,BUY,2024-02-12 22:50:00,0.0,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.34540448,895000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.98,16.0,127.68,BUY,2024-02-12 22:50:00,986.5245955,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.0056,443000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9855,144.09,1150.63,BUY,2024-02-12 22:50:00,1002.518996,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.0504314,660000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9874,142.98,1142.04,BUY,2024-02-12 22:50:00,1146.558564,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.05004294,1080000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9894,8.73,69.75,BUY,2024-02-12 22:50:00,1289.488521,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.00305542,1050000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.99,1.41,11.27,BUY,2024-02-12 22:50:00,1298.215466,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.00049349,733000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9934,144.09,1151.77,BUY,2024-02-12 22:50:00,1299.624972,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.05043148,906000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,34.0,272.0,BUY,2024-02-12 22:50:00,1443.664541,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.0119,396000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,46.0,368.0,BUY,2024-02-12 22:50:00,1477.652641,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.0161,946000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,12.5,100.0,BUY,2024-02-12 22:50:00,1523.636541,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.004375,34700000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,1463.33,11706.64,BUY,2024-02-12 22:50:00,1536.132166,Buy,0.0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630.0,True,0.5121655,94400000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9457,7.27,57.77,BUY,2024-02-12 22:51:00,2998.95,Buy,0.0,0x21b8b230ad8a3e9ae1bb041841332f02028300681b0dd484959026f37947df17,52018049026.0,True,0.00254439,938000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9487,100.0,794.87,BUY,2024-02-12 22:51:00,3006.217456,Buy,0.0,0x21b8b230ad8a3e9ae1bb041841332f02028300681b0dd484959026f37947df17,52018049026.0,True,0.03499993,1010000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9499,28.62,227.53,BUY,2024-02-12 22:51:00,3106.182456,Buy,0.0,0x21b8b230ad8a3e9ae1bb041841332f02028300681b0dd484959026f37947df17,52018049026.0,True,0.01001698,123000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.95,1866.11,14835.57,BUY,2024-02-12 22:51:00,3134.792439,Buy,0.0,0x21b8b230ad8a3e9ae1bb041841332f02028300681b0dd484959026f37947df17,52018049026.0,True,0.65313849,77800000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9271,100.0,792.71,BUY,2024-02-12 22:54:00,5000.249301,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.03499993,35000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9271,98.0,776.86,BUY,2024-02-12 22:54:00,5100.214301,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.03429993,1040000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9272,21.01,166.55,BUY,2024-02-12 22:54:00,5198.180001,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.00735341,922000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9275,20.27,160.69,BUY,2024-02-12 22:54:00,5219.182647,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.00709441,901000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9285,151.92,1204.5,BUY,2024-02-12 22:54:00,5239.445553,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.05317197,1080000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9292,25.0,198.23,BUY,2024-02-12 22:54:00,5391.312381,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.00874993,258000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9295,9.0,71.37,BUY,2024-02-12 22:54:00,5416.303631,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.00314988,413000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9298,144.09,1142.6,BUY,2024-02-12 22:54:00,5425.300481,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.05043141,685000000000000.0,1730000000000.0,2024-02-12,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9311,16.05,127.29,BUY,2024-02-12 22:54:00,5569.34005,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364.0,True,0.00561737,651000000000000.0,1730000000000.0,2024-02-12,Greed
